date,link_id,site,capacity_mbps,utilization_mbps,utilization_pct,ticket_count,outage_count
2025-03-22,wan-01,metro-core,1000,411.1,41.1,2,0
2025-03-23,wan-01,metro-core,1000,338.1,33.8,7,0
2025-03-24,wan-01,metro-core,1000,388.8,38.9,2,0
2025-03-25,wan-01,metro-core,1000,359.7,36.0,0,0
2025-03-26,wan-01,metro-core,1000,426.8,42.7,0,0
2025-03-27,wan-01,metro-core,1000,519.6,52.0,0,0
2025-03-28,wan-01,metro-core,1000,489.3,48.9,3,0
2025-03-29,wan-01,metro-core,1000,543.8,54.4,0,0
2025-03-30,wan-01,metro-core,1000,372.9,37.3,3,0
2025-03-31,wan-01,metro-core,1000,423.8,42.4,0,0
2025-04-01,wan-01,metro-core,1000,396.2,39.6,0,0
2025-04-02,wan-01,metro-core,1000,452.5,45.2,0,0
2025-04-03,wan-01,metro-core,1000,611.1,61.1,3,0
2025-04-04,wan-01,metro-core,1000,664.5,66.4,1,0
2025-04-05,wan-01,metro-core,1000,552.9,55.3,0,0
2025-04-06,wan-01,metro-core,1000,490.8,49.1,0,0
2025-04-07,wan-01,metro-core,1000,394.5,39.5,3,0
2025-04-08,wan-01,metro-core,1000,525.5,52.5,3,0
2025-04-09,wan-01,metro-core,1000,585.0,58.5,2,0
2025-04-10,wan-01,metro-core,1000,574.3,57.4,2,0
2025-04-11,wan-01,metro-core,1000,598.2,59.8,0,0
2025-04-12,wan-01,metro-core,1000,503.3,50.3,0,0
2025-04-13,wan-01,metro-core,1000,485.9,48.6,2,0
2025-04-14,wan-01,metro-core,1000,417.8,41.8,4,0
2025-04-15,wan-01,metro-core,1000,446.9,44.7,2,0
2025-04-16,wan-01,metro-core,1000,536.2,53.6,0,0
2025-04-17,wan-01,metro-core,1000,477.4,47.7,3,0
2025-04-18,wan-01,metro-core,1000,528.5,52.8,3,0
2025-04-19,wan-01,metro-core,1000,512.7,51.3,3,0
2025-04-20,wan-01,metro-core,1000,451.2,45.1,0,0
2025-04-21,wan-01,metro-core,1000,400.9,40.1,0,0
2025-04-22,wan-01,metro-core,1000,361.1,36.1,1,0
2025-04-23,wan-01,metro-core,1000,475.6,47.6,3,0
2025-04-24,wan-01,metro-core,1000,547.3,54.7,0,0
2025-04-25,wan-01,metro-core,1000,509.6,51.0,0,0
2025-04-26,wan-01,metro-core,1000,488.3,48.8,2,0
2025-04-27,wan-01,metro-core,1000,402.6,40.3,2,0
2025-04-28,wan-01,metro-core,1000,402.6,40.3,3,0
2025-04-29,wan-01,metro-core,1000,391.0,39.1,0,0
2025-04-30,wan-01,metro-core,1000,466.2,46.6,4,0
2025-05-01,wan-01,metro-core,1000,604.7,60.5,1,0
2025-05-02,wan-01,metro-core,1000,601.0,60.1,2,0
2025-05-03,wan-01,metro-core,1000,567.6,56.8,1,0
2025-05-04,wan-01,metro-core,1000,489.1,48.9,0,0
2025-05-05,wan-01,metro-core,1000,443.5,44.3,4,0
2025-05-06,wan-01,metro-core,1000,507.0,50.7,2,0
2025-05-07,wan-01,metro-core,1000,548.2,54.8,2,0
2025-05-08,wan-01,metro-core,1000,633.5,63.4,1,0
2025-05-09,wan-01,metro-core,1000,644.2,64.4,2,0
2025-05-10,wan-01,metro-core,1000,566.4,56.6,0,0
2025-05-11,wan-01,metro-core,1000,484.6,48.5,0,0
2025-05-12,wan-01,metro-core,1000,502.0,50.2,0,0
2025-05-13,wan-01,metro-core,1000,469.9,47.0,1,0
2025-05-14,wan-01,metro-core,1000,511.7,51.2,2,0
2025-05-15,wan-01,metro-core,1000,626.2,62.6,2,0
2025-05-16,wan-01,metro-core,1000,587.6,58.8,1,0
2025-05-17,wan-01,metro-core,1000,535.0,53.5,3,0
2025-05-18,wan-01,metro-core,1000,447.1,44.7,0,0
2025-05-19,wan-01,metro-core,1000,365.0,36.5,0,0
2025-05-20,wan-01,metro-core,1000,368.9,36.9,3,0
2025-05-21,wan-01,metro-core,1000,487.1,48.7,1,0
2025-05-22,wan-01,metro-core,1000,584.8,58.5,1,0
2025-05-23,wan-01,metro-core,1000,574.0,57.4,3,0
2025-05-24,wan-01,metro-core,1000,451.0,45.1,0,0
2025-05-25,wan-01,metro-core,1000,406.1,40.6,3,0
2025-05-26,wan-01,metro-core,1000,445.6,44.6,0,0
2025-05-27,wan-01,metro-core,1000,459.2,45.9,1,0
2025-05-28,wan-01,metro-core,1000,479.7,48.0,1,0
2025-05-29,wan-01,metro-core,1000,554.5,55.4,0,0
2025-05-30,wan-01,metro-core,1000,556.9,55.7,0,0
2025-05-31,wan-01,metro-core,1000,576.9,57.7,5,0
2025-06-01,wan-01,metro-core,1000,597.0,59.7,1,0
2025-06-02,wan-01,metro-core,1000,408.5,40.8,1,0
2025-06-03,wan-01,metro-core,1000,461.1,46.1,4,0
2025-06-04,wan-01,metro-core,1000,584.9,58.5,0,0
2025-06-05,wan-01,metro-core,1000,667.1,66.7,2,0
2025-06-06,wan-01,metro-core,1000,597.9,59.8,1,0
2025-06-07,wan-01,metro-core,1000,606.0,60.6,2,0
2025-06-08,wan-01,metro-core,1000,550.2,55.0,1,0
2025-06-09,wan-01,metro-core,1000,507.5,50.8,1,0
2025-06-10,wan-01,metro-core,1000,481.4,48.1,4,0
2025-06-11,wan-01,metro-core,1000,582.5,58.2,2,0
2025-06-12,wan-01,metro-core,1000,569.5,57.0,1,0
2025-06-13,wan-01,metro-core,1000,661.1,66.1,0,0
2025-06-14,wan-01,metro-core,1000,618.3,61.8,1,0
2025-06-15,wan-01,metro-core,1000,514.9,51.5,1,0
2025-06-16,wan-01,metro-core,1000,455.5,45.5,3,0
2025-06-17,wan-01,metro-core,1000,439.9,44.0,4,0
2025-06-18,wan-01,metro-core,1000,480.8,48.1,0,0
2025-06-19,wan-01,metro-core,1000,588.6,58.9,0,0
2025-06-20,wan-01,metro-core,1000,560.7,56.1,3,0
2025-06-21,wan-01,metro-core,1000,569.2,56.9,0,0
2025-06-22,wan-01,metro-core,1000,473.7,47.4,4,0
2025-06-23,wan-01,metro-core,1000,455.2,45.5,1,0
2025-06-24,wan-01,metro-core,1000,410.7,41.1,1,0
2025-06-25,wan-01,metro-core,1000,458.8,45.9,1,0
2025-06-26,wan-01,metro-core,1000,562.0,56.2,1,0
2025-06-27,wan-01,metro-core,1000,633.9,63.4,1,0
2025-06-28,wan-01,metro-core,1000,508.0,50.8,3,0
2025-06-29,wan-01,metro-core,1000,462.6,46.3,1,0
2025-06-30,wan-01,metro-core,1000,463.3,46.3,1,0
2025-07-01,wan-01,metro-core,1000,459.4,45.9,1,0
2025-07-02,wan-01,metro-core,1000,644.2,64.4,1,0
2025-07-03,wan-01,metro-core,1000,635.3,63.5,3,0
2025-07-04,wan-01,metro-core,1000,690.0,69.0,3,0
2025-07-05,wan-01,metro-core,1000,657.7,65.8,0,0
2025-07-06,wan-01,metro-core,1000,532.8,53.3,2,0
2025-07-07,wan-01,metro-core,1000,540.1,54.0,3,0
2025-07-08,wan-01,metro-core,1000,555.2,55.5,1,0
2025-07-09,wan-01,metro-core,1000,601.2,60.1,1,0
2025-07-10,wan-01,metro-core,1000,667.5,66.7,3,0
2025-07-11,wan-01,metro-core,1000,657.0,65.7,0,0
2025-07-12,wan-01,metro-core,1000,588.6,58.9,3,0
2025-07-13,wan-01,metro-core,1000,585.6,58.6,3,0
2025-07-14,wan-01,metro-core,1000,518.2,51.8,3,0
2025-07-15,wan-01,metro-core,1000,493.9,49.4,2,0
2025-07-16,wan-01,metro-core,1000,510.0,51.0,1,0
2025-07-17,wan-01,metro-core,1000,574.4,57.4,3,0
2025-07-18,wan-01,metro-core,1000,586.9,58.7,1,0
2025-07-19,wan-01,metro-core,1000,570.9,57.1,4,0
2025-07-20,wan-01,metro-core,1000,454.3,45.4,0,0
2025-07-21,wan-01,metro-core,1000,463.8,46.4,0,0
2025-07-22,wan-01,metro-core,1000,465.0,46.5,1,0
2025-07-23,wan-01,metro-core,1000,508.7,50.9,0,0
2025-07-24,wan-01,metro-core,1000,602.8,60.3,1,0
2025-07-25,wan-01,metro-core,1000,566.7,56.7,5,0
2025-07-26,wan-01,metro-core,1000,586.7,58.7,7,0
2025-07-27,wan-01,metro-core,1000,515.1,51.5,1,0
2025-07-28,wan-01,metro-core,1000,471.0,47.1,4,0
2025-07-29,wan-01,metro-core,1000,492.4,49.2,2,0
2025-07-30,wan-01,metro-core,1000,585.1,58.5,0,0
2025-07-31,wan-01,metro-core,1000,645.2,64.5,1,0
2025-08-01,wan-01,metro-core,1000,623.1,62.3,3,0
2025-08-02,wan-01,metro-core,1000,656.5,65.6,2,0
2025-08-03,wan-01,metro-core,1000,540.5,54.0,0,0
2025-08-04,wan-01,metro-core,1000,552.8,55.3,1,0
2025-08-05,wan-01,metro-core,1000,497.3,49.7,1,0
2025-08-06,wan-01,metro-core,1000,568.4,56.8,1,0
2025-08-07,wan-01,metro-core,1000,689.9,69.0,2,0
2025-08-08,wan-01,metro-core,1000,706.4,70.6,2,0
2025-08-09,wan-01,metro-core,1000,612.1,61.2,1,0
2025-08-10,wan-01,metro-core,1000,559.3,55.9,1,0
2025-08-11,wan-01,metro-core,1000,536.2,53.6,2,0
2025-08-12,wan-01,metro-core,1000,591.1,59.1,0,0
2025-08-13,wan-01,metro-core,1000,601.2,60.1,1,0
2025-08-14,wan-01,metro-core,1000,719.7,72.0,3,0
2025-08-15,wan-01,metro-core,1000,587.9,58.8,2,0
2025-08-16,wan-01,metro-core,1000,575.0,57.5,3,0
2025-08-17,wan-01,metro-core,1000,478.6,47.9,1,0
2025-08-18,wan-01,metro-core,1000,460.5,46.1,1,0
2025-08-19,wan-01,metro-core,1000,454.7,45.5,0,0
2025-08-20,wan-01,metro-core,1000,550.3,55.0,3,0
2025-08-21,wan-01,metro-core,1000,592.8,59.3,0,0
2025-08-22,wan-01,metro-core,1000,618.5,61.8,2,0
2025-08-23,wan-01,metro-core,1000,564.8,56.5,1,0
2025-08-24,wan-01,metro-core,1000,555.8,55.6,0,0
2025-08-25,wan-01,metro-core,1000,450.5,45.1,0,0
2025-08-26,wan-01,metro-core,1000,469.5,46.9,0,0
2025-08-27,wan-01,metro-core,1000,532.7,53.3,0,0
2025-08-28,wan-01,metro-core,1000,702.3,70.2,1,0
2025-08-29,wan-01,metro-core,1000,662.0,66.2,5,0
2025-08-30,wan-01,metro-core,1000,631.7,63.2,0,0
2025-08-31,wan-01,metro-core,1000,589.1,58.9,0,0
2025-09-01,wan-01,metro-core,1000,598.9,59.9,0,0
2025-09-02,wan-01,metro-core,1000,545.1,54.5,0,0
2025-09-03,wan-01,metro-core,1000,638.2,63.8,0,0
2025-09-04,wan-01,metro-core,1000,700.0,70.0,1,0
2025-09-05,wan-01,metro-core,1000,699.2,69.9,3,0
2025-09-06,wan-01,metro-core,1000,710.8,71.1,2,0
2025-09-07,wan-01,metro-core,1000,575.6,57.6,0,0
2025-09-08,wan-01,metro-core,1000,569.8,57.0,5,0
2025-09-09,wan-01,metro-core,1000,554.3,55.4,0,0
2025-09-10,wan-01,metro-core,1000,601.4,60.1,0,0
2025-09-11,wan-01,metro-core,1000,646.0,64.6,1,0
2025-09-12,wan-01,metro-core,1000,736.4,73.6,1,0
2025-09-13,wan-01,metro-core,1000,615.3,61.5,0,0
2025-09-14,wan-01,metro-core,1000,561.6,56.2,1,0
2025-09-15,wan-01,metro-core,1000,458.6,45.9,0,0
2025-09-16,wan-01,metro-core,1000,507.2,50.7,3,0
2025-09-17,wan-01,metro-core,1000,586.1,58.6,2,0
2025-09-18,wan-01,metro-core,1000,609.9,61.0,2,0
2025-09-19,wan-01,metro-core,1000,632.7,63.3,5,0
2025-09-20,wan-01,metro-core,1000,548.8,54.9,1,0
2025-09-21,wan-01,metro-core,1000,564.0,56.4,1,0
2025-09-22,wan-01,metro-core,1000,529.1,52.9,1,0
2025-09-23,wan-01,metro-core,1000,504.7,50.5,1,0
2025-09-24,wan-01,metro-core,1000,520.7,52.1,0,0
2025-09-25,wan-01,metro-core,1000,717.6,71.8,2,0
2025-09-26,wan-01,metro-core,1000,686.5,68.6,3,0
2025-09-27,wan-01,metro-core,1000,652.5,65.3,3,0
2025-09-28,wan-01,metro-core,1000,565.0,56.5,1,0
2025-09-29,wan-01,metro-core,1000,576.5,57.7,1,0
2025-09-30,wan-01,metro-core,1000,521.6,52.2,1,0
2025-10-01,wan-01,metro-core,1000,621.4,62.1,2,0
2025-10-02,wan-01,metro-core,1000,686.3,68.6,0,0
2025-10-03,wan-01,metro-core,1000,722.2,72.2,4,0
2025-10-04,wan-01,metro-core,1000,693.8,69.4,2,0
2025-10-05,wan-01,metro-core,1000,629.2,62.9,2,0
2025-10-06,wan-01,metro-core,1000,618.8,61.9,4,0
2025-10-07,wan-01,metro-core,1000,542.8,54.3,4,0
2025-10-08,wan-01,metro-core,1000,659.2,65.9,1,0
2025-10-09,wan-01,metro-core,1000,800.3,80.0,1,0
2025-10-10,wan-01,metro-core,1000,792.9,79.3,3,0
2025-10-11,wan-01,metro-core,1000,637.1,63.7,2,0
2025-10-12,wan-01,metro-core,1000,620.3,62.0,1,0
2025-10-13,wan-01,metro-core,1000,460.0,46.0,1,0
2025-10-14,wan-01,metro-core,1000,540.6,54.1,0,0
2025-10-15,wan-01,metro-core,1000,664.5,66.4,1,0
2025-10-16,wan-01,metro-core,1000,641.0,64.1,1,0
2025-10-17,wan-01,metro-core,1000,635.7,63.6,0,0
2025-10-18,wan-01,metro-core,1000,617.7,61.8,2,0
2025-10-19,wan-01,metro-core,1000,523.7,52.4,1,0
2025-10-20,wan-01,metro-core,1000,448.0,44.8,2,0
2025-10-21,wan-01,metro-core,1000,486.6,48.7,2,0
2025-10-22,wan-01,metro-core,1000,546.5,54.7,1,0
2025-10-23,wan-01,metro-core,1000,653.3,65.3,0,0
2025-10-24,wan-01,metro-core,1000,754.5,75.4,1,0
2025-10-25,wan-01,metro-core,1000,630.7,63.1,0,0
2025-10-26,wan-01,metro-core,1000,629.4,62.9,4,0
2025-10-27,wan-01,metro-core,1000,551.4,55.1,0,0
2025-10-28,wan-01,metro-core,1000,549.8,55.0,2,0
2025-10-29,wan-01,metro-core,1000,623.2,62.3,0,0
2025-10-30,wan-01,metro-core,1000,672.7,67.3,0,0
2025-10-31,wan-01,metro-core,1000,740.0,74.0,1,0
2025-11-01,wan-01,metro-core,1000,705.3,70.5,6,0
2025-11-02,wan-01,metro-core,1000,704.1,70.4,0,0
2025-11-03,wan-01,metro-core,1000,615.8,61.6,2,0
2025-11-04,wan-01,metro-core,1000,617.2,61.7,3,0
2025-11-05,wan-01,metro-core,1000,673.7,67.4,1,0
2025-11-06,wan-01,metro-core,1000,733.3,73.3,1,0
2025-11-07,wan-01,metro-core,1000,803.3,80.3,3,0
2025-11-08,wan-01,metro-core,1000,662.6,66.3,1,0
2025-11-09,wan-01,metro-core,1000,605.2,60.5,3,0
2025-11-10,wan-01,metro-core,1000,589.3,58.9,3,0
2025-11-11,wan-01,metro-core,1000,585.5,58.5,0,0
2025-11-12,wan-01,metro-core,1000,656.3,65.6,2,0
2025-11-13,wan-01,metro-core,1000,711.1,71.1,0,0
2025-11-14,wan-01,metro-core,1000,702.4,70.2,0,0
2025-11-15,wan-01,metro-core,1000,623.9,62.4,2,0
2025-11-16,wan-01,metro-core,1000,583.8,58.4,0,0
2025-11-17,wan-01,metro-core,1000,462.8,46.3,0,0
2025-11-18,wan-01,metro-core,1000,514.5,51.4,3,0
2025-11-19,wan-01,metro-core,1000,593.7,59.4,0,0
2025-11-20,wan-01,metro-core,1000,628.7,62.9,2,0
2025-11-21,wan-01,metro-core,1000,735.8,73.6,3,0
2025-11-22,wan-01,metro-core,1000,651.7,65.2,2,0
2025-11-23,wan-01,metro-core,1000,539.3,53.9,1,0
2025-11-24,wan-01,metro-core,1000,529.9,53.0,0,0
2025-11-25,wan-01,metro-core,1000,568.9,56.9,1,0
2025-11-26,wan-01,metro-core,1000,651.7,65.2,4,0
2025-11-27,wan-01,metro-core,1000,739.5,73.9,2,0
2025-11-28,wan-01,metro-core,1000,731.7,73.2,0,0
2025-11-29,wan-01,metro-core,1000,703.5,70.3,2,0
2025-11-30,wan-01,metro-core,1000,612.5,61.2,3,0
2025-12-01,wan-01,metro-core,1000,601.3,60.1,2,0
2025-12-02,wan-01,metro-core,1000,623.8,62.4,0,0
2025-12-03,wan-01,metro-core,1000,775.1,77.5,0,0
2025-12-04,wan-01,metro-core,1000,800.3,80.0,1,0
2025-12-05,wan-01,metro-core,1000,794.1,79.4,0,0
2025-12-06,wan-01,metro-core,1000,725.0,72.5,3,0
2025-12-07,wan-01,metro-core,1000,734.7,73.5,0,0
2025-12-08,wan-01,metro-core,1000,618.2,61.8,3,0
2025-12-09,wan-01,metro-core,1000,604.2,60.4,3,0
2025-12-10,wan-01,metro-core,1000,653.0,65.3,2,0
2025-12-11,wan-01,metro-core,1000,749.0,74.9,3,0
2025-12-12,wan-01,metro-core,1000,752.2,75.2,0,0
2025-12-13,wan-01,metro-core,1000,709.8,71.0,0,0
2025-12-14,wan-01,metro-core,1000,634.1,63.4,4,0
2025-12-15,wan-01,metro-core,1000,577.1,57.7,1,0
2025-12-16,wan-01,metro-core,1000,606.3,60.6,2,0
2025-12-17,wan-01,metro-core,1000,578.1,57.8,1,0
2025-12-18,wan-01,metro-core,1000,730.4,73.0,1,0
2025-12-19,wan-01,metro-core,1000,698.9,69.9,1,0
2025-12-20,wan-01,metro-core,1000,593.1,59.3,1,0
2025-12-21,wan-01,metro-core,1000,598.0,59.8,2,0
2025-12-22,wan-01,metro-core,1000,541.1,54.1,0,0
2025-12-23,wan-01,metro-core,1000,612.3,61.2,3,0
2025-12-24,wan-01,metro-core,1000,676.3,67.6,3,0
2025-12-25,wan-01,metro-core,1000,697.2,69.7,1,0
2025-12-26,wan-01,metro-core,1000,749.9,75.0,4,0
2025-12-27,wan-01,metro-core,1000,647.7,64.8,1,0
2025-12-28,wan-01,metro-core,1000,623.4,62.3,2,0
2025-12-29,wan-01,metro-core,1000,667.0,66.7,1,0
2025-12-30,wan-01,metro-core,1000,597.5,59.8,2,0
2025-12-31,wan-01,metro-core,1000,702.0,70.2,0,0
2025-01-01,wan-02,enterprise-backup,500,190.5,38.1,1,0
2025-01-02,wan-02,enterprise-backup,500,223.6,44.7,0,0
2025-01-03,wan-02,enterprise-backup,500,243.8,48.8,0,0
2025-01-04,wan-02,enterprise-backup,500,226.1,45.2,0,0
2025-01-05,wan-02,enterprise-backup,500,201.2,40.2,1,0
2025-01-06,wan-02,enterprise-backup,500,131.4,26.3,1,0
2025-01-07,wan-02,enterprise-backup,500,174.6,34.9,0,0
2025-01-08,wan-02,enterprise-backup,500,192.6,38.5,2,0
2025-01-09,wan-02,enterprise-backup,500,229.8,46.0,0,0
2025-01-10,wan-02,enterprise-backup,500,232.1,46.4,2,0
2025-01-11,wan-02,enterprise-backup,500,221.2,44.2,3,0
2025-01-12,wan-02,enterprise-backup,500,166.3,33.3,5,0
2025-01-13,wan-02,enterprise-backup,500,167.1,33.4,2,0
2025-01-14,wan-02,enterprise-backup,500,175.5,35.1,3,0
2025-01-15,wan-02,enterprise-backup,500,184.8,37.0,1,0
2025-01-16,wan-02,enterprise-backup,500,227.2,45.4,2,0
2025-01-17,wan-02,enterprise-backup,500,178.9,35.8,0,0
2025-01-18,wan-02,enterprise-backup,500,193.8,38.8,2,0
2025-01-19,wan-02,enterprise-backup,500,151.4,30.3,2,0
2025-01-20,wan-02,enterprise-backup,500,123.8,24.8,4,0
2025-01-21,wan-02,enterprise-backup,500,115.8,23.2,1,0
2025-01-22,wan-02,enterprise-backup,500,161.1,32.2,3,0
2025-01-23,wan-02,enterprise-backup,500,199.6,39.9,4,0
2025-01-24,wan-02,enterprise-backup,500,185.4,37.1,3,0
2025-01-25,wan-02,enterprise-backup,500,181.6,36.3,0,0
2025-01-26,wan-02,enterprise-backup,500,138.6,27.7,5,0
2025-01-27,wan-02,enterprise-backup,500,136.4,27.3,1,0
2025-01-28,wan-02,enterprise-backup,500,92.5,18.5,0,0
2025-01-29,wan-02,enterprise-backup,500,158.1,31.6,2,0
2025-01-30,wan-02,enterprise-backup,500,247.3,49.5,3,0
2025-01-31,wan-02,enterprise-backup,500,225.5,45.1,0,0
2025-02-01,wan-02,enterprise-backup,500,183.0,36.6,1,0
2025-02-02,wan-02,enterprise-backup,500,166.0,33.2,6,0
2025-02-03,wan-02,enterprise-backup,500,150.2,30.0,1,0
2025-02-04,wan-02,enterprise-backup,500,188.9,37.8,2,0
2025-02-05,wan-02,enterprise-backup,500,182.0,36.4,3,0
2025-02-06,wan-02,enterprise-backup,500,231.8,46.4,0,0
2025-02-07,wan-02,enterprise-backup,500,251.9,50.4,2,0
2025-02-08,wan-02,enterprise-backup,500,218.9,43.8,3,0
2025-02-09,wan-02,enterprise-backup,500,203.6,40.7,0,0
2025-02-10,wan-02,enterprise-backup,500,129.6,25.9,0,0
2025-02-11,wan-02,enterprise-backup,500,168.3,33.7,3,0
2025-02-12,wan-02,enterprise-backup,500,215.6,43.1,4,0
2025-02-13,wan-02,enterprise-backup,500,257.5,51.5,2,0
2025-02-14,wan-02,enterprise-backup,500,246.5,49.3,0,0
2025-02-15,wan-02,enterprise-backup,500,213.4,42.7,2,0
2025-02-16,wan-02,enterprise-backup,500,160.0,32.0,1,0
2025-02-17,wan-02,enterprise-backup,500,115.7,23.1,2,0
2025-02-18,wan-02,enterprise-backup,500,161.0,32.2,1,0
2025-02-19,wan-02,enterprise-backup,500,175.5,35.1,1,0
2025-02-20,wan-02,enterprise-backup,500,199.1,39.8,0,0
2025-02-21,wan-02,enterprise-backup,500,207.0,41.4,1,0
2025-02-22,wan-02,enterprise-backup,500,183.4,36.7,1,0
2025-02-23,wan-02,enterprise-backup,500,122.8,24.6,1,0
2025-02-24,wan-02,enterprise-backup,500,141.2,28.2,4,0
2025-02-25,wan-02,enterprise-backup,500,127.4,25.5,3,0
2025-02-26,wan-02,enterprise-backup,500,180.9,36.2,2,0
2025-02-27,wan-02,enterprise-backup,500,175.8,35.2,2,0
2025-02-28,wan-02,enterprise-backup,500,198.5,39.7,3,0
2025-03-01,wan-02,enterprise-backup,500,212.8,42.6,2,0
2025-03-02,wan-02,enterprise-backup,500,125.3,25.1,2,0
2025-03-03,wan-02,enterprise-backup,500,165.6,33.1,0,0
2025-03-04,wan-02,enterprise-backup,500,183.3,36.7,2,0
2025-03-05,wan-02,enterprise-backup,500,199.1,39.8,0,0
2025-03-06,wan-02,enterprise-backup,500,219.8,44.0,1,0
